"EvergreenName","Application","CommunityPackageId","CommunityVersion","EvergreenVersion","Published","VersionMismatch","StaleDays","LastChecked","AmbiguousMatch"
"ManicTimeClient","ManicTime","manictime","4.0.15","2026.2.1.1","2018-03-30","True","3067","2026-08-22","False"
"MarcHaesenVcXsrvWindowsXServer","Marc Haesen VcXsrv Windows X Server","vcxsrv","21.1.10","21.1.16.1","2024-03-05","True","900","2026-08-22","False"
"MarcinSzeniakBulkCrapUninstaller","Marcin Szeniak Bulk Crap Uninstaller","","","6.2","","False","","2026-08-22","False"
"MarkMpnSQL4CDS","MarkMpn SQL 4 CDS","","","10.4.4","","False","","2026-08-22","False"
"MasterPackager","Master Packager","masterpackager","26.3.9686","26.3.9686","2026-07-09","False","44","2026-08-22","False"
"MattermostDesktop","Mattermost Desktop","","","6.0.4","","False","","2026-08-22","False"
"Maximus5ConEmu","Maximus5 ConEmu","ConEmu","23.7.24","23.07.24","2023-07-24","True","1125","2026-08-22","False"
"McNeelRhino","McNeel Rhino","","","8.34.26223.11001","","False","","2026-08-22","False"
"MediaPlayerClassicBlackEdition","MPC-BE Team Media Player Classic Black Edition","mpc-be","1.9.1","1.9.1","2026-08-08","False","14","2026-08-22","False"
"MeetFranz","Meet Franz","franz","5.10.0","5.11.0","2023-09-04","True","1083","2026-08-22","False"
"MeltytechShotcut","Meltytech Shotcut","Shotcut","26.8.1","26.8.1","2026-08-02","False","20","2026-08-22","False"
"MendeleyReferenceManager","Mendeley Reference Manager","mendeley","1.19.8","2.148.0","2021-01-25","True","2034","2026-08-21","False"
"MestrelabMnova","Mestrelab Mnova","","","17.0.1","","False","","2026-08-22","False"
"MichaelHansenQTextPad","Michael Hansen QTextPad","","","1.12","","False","","2026-08-22","False"
"Microsoft.NET","Microsoft .NET","","","10.0.400","","False","","2026-08-22","False"
"Microsoft365Apps","Microsoft 365 Apps","","","16.0.20326.20100","","False","","2026-08-22","False"
"MicrosoftAptosFont","Microsoft Aptos Font","aptos","9.2.0","4.40","2026-04-22","True","122","2026-08-22","False"
"MicrosoftAzureCLI","Microsoft Azure CLI","","","2.89.1","","False","","2026-08-22","False"
"MicrosoftAzureFunctionsCoreTools","Microsoft Azure Functions Core Tools","","","4.13.0","","False","","2026-08-22","False"
"MicrosoftAzurePipelinesAgent","Microsoft Azure Pipelines Agent","","","5.277.0","","False","","2026-08-22","False"
"MicrosoftAzurePowerShell","Microsoft Azure PowerShell","PowerShell","5.1.14409.20180811","16.2.0","2018-08-11","True","2933","2026-08-22","True"
"MicrosoftAzureStorageExplorer","Microsoft Azure Storage Explorer","microsoftazurestorageexplorer","1.45.0","1.45.0","2026-07-31","False","22","2026-08-22","False"
"MicrosoftAzureWindowsVMAgent","Microsoft Azure Windows VMAgent","vmagent","1.148.0","2.7.41491.1243","2026-07-21","True","32","2026-08-22","False"
"MicrosoftBicep","Microsoft Bicep","bicep","0.46.1","0.46.1","2026-07-31","False","22","2026-08-22","False"
"MicrosoftBotFrameworkComposer","Microsoft Bot Framework Composer","composer","6.3.0","2.1.2","2021-11-18","True","1738","2026-08-22","False"
"MicrosoftBotFrameworkEmulator","Microsoft Bot Framework Emulator","","","4.15.1","","False","","2026-08-22","False"
"MicrosoftEdge","Microsoft Edge","","","153.0.4224.0","","False","","2026-08-22","False"
"MicrosoftEdgeDriver","Microsoft Edge WebDriver","","","153.0.4224.0","","False","","2026-08-22","False"
"MicrosoftEdgeForBusiness","Microsoft Edge for Business","","","153.0.4224.0","","False","","2026-08-22","False"
"MicrosoftEdgeWebView2Runtime","Microsoft Edge WebView2 Runtime","","","151.0.4129.101","","False","","2026-08-22","False"
"MicrosoftFSLogixApps","Microsoft FSLogix Apps","fslogix","3.26.126.19110","3.26.126.19110","2026-02-10","False","193","2026-08-22","False"
"MicrosoftODBCDriverForSQLServer","Microsoft ODBC Driver for SQL Server (latest)","","","18.6.2.1","","False","","2026-08-22","False"
"MicrosoftODBCDriverForSQLServer17","Microsoft ODBC Driver for SQL Server 17.x","","","17.10.6.1","","False","","2026-08-22","False"
